Sample ID,SampleName,Trial,Strain ,Sample Type,CultureRep ,FilterSize,SeqRnd,OR
KuroSW1-1-2-3,KuroSW1.1_2-3,1.1,Kuro,Colony,2,c,R,Recruited
KuroSW1-1-2-2,KuroSW1.1_2-2,1.1,Kuro,Colony,2,c,R,Recruited
KuroSW1-1-2-1,KuroSW1.1_2-1,1.1,Kuro,Colony,2,c,R,Recruited
KuroSW1-1-1-5,KuroSW1.1_1-5,1.1,Kuro,Colony,1,c,R,Recruited
KuroSW1-1-1-4,KuroSW1.1_1-4,1.1,Kuro,Colony,1,c,R,Recruited
KuroSW1-1-1-3,KuroSW1.1_1-3,1.1,Kuro,Colony,1,c,R,Recruited
KuroSW1-1-1-2,KuroSW1.1_1-2,1.1,Kuro,Colony,1,c,R,Recruited
KuroSW1-1-1-1,KuroSW1.1_1-1,1.1,Kuro,Colony,1,c,R,Recruited
F59,Orange,n,Isolate,Isolate,n,0.2,R,Recruited
F58,f_KuroSW1.1_1-3,1.1,Kuro,Filter,1,0.2,R,Recruited
KuroSW1-1-3-5,KuroSW1.1_3-5,1.1,Kuro,Colony,3,c,R,Recruited
KuroSW1-1-3-4,KuroSW1.1_3-4,1.1,Kuro,Colony,3,c,R,Recruited
KuroSW1-1-3-3,KuroSW1.1_3-3,1.1,Kuro,Colony,3,c,R,Recruited
KuroSW1-1-3-2,KuroSW1.1_3-2,1.1,Kuro,Colony,3,c,R,Recruited
KuroSW1-1-3-1,KuroSW1.1_3-1,1.1,Kuro,Colony,3,c,R,Recruited
KuroSW1-1-2-4,KuroSW1.1_2-4,1.1,Kuro,Colony,2,c,R,Recruited
629SW2-2-4,ccmp629SW2_2-4,2,629,Colony,2,c,R,Recruited
629SW2-2-3,ccmp629SW2_2-3,2,629,Colony,2,c,R,Recruited
629SW2-2-2,ccmp629SW2_2-2,2,629,Colony,2,c,R,Recruited
629SW2-2-1,ccmp629SW2_2-1,2,629,Colony,2,c,R,Recruited
629SW2-1-4,ccmp629SW2_1-4,2,629,Colony,1,c,R,Recruited
629SW2-1-3,ccmp629SW2_1-3,2,629,Colony,1,c,R,Recruited
F60,Pink,n,Isolate,Isolate,n,0.2,R,Recruited
629SW2-1-1,ccmp629SW2_1-1,2,629,Colony,2,c,R,Recruited
