parent,node,branch.length,OTU
318,1,0.055925021,8dfd4e02953f6cfb06fb8ee17d170cd4
318,2,0.050390121,9fa21661f83560039d0b6631cc91c89a
322,3,0.047809957,7cd837e96a3c81971441f191042e5c0e
322,4,0.094199846,09885c690d3826a3080a458ca7b92797
323,5,0.059009545,31afe91962c5e0e3dc163596453b8556
323,6,0.026137521,901f67110fdd83f0cb16b18a33cf9f3d
320,7,0.28007187,1c4a213edff40d1569078dec022f31ac
328,8,0.023387678,8bf9adc0c054be7d8b4c8c8326eb1b91
329,9,0.034469975,a36f79d789423388e8e58e54fdf8a7ff
330,10,0.024305089,ae8b3eda73c6ad44bb869330eacb26da
330,11,0.029826582,dd865b28ff2c7e8ac991925a5d7d8bb5
327,12,0.048430259,76a52e0d356c557fef1d3099b7a88af1
331,13,0.014408295,342ea341b29c74fcc57a3e4b251b94a5
333,14,0.024909608,3ac43eb1456bb98372077cd751a036f4
333,15,0.027858622,c93a8ee6c1a94cbde68019395c340851
332,16,0.050622321,c70f62abd223a65fd76497009f785e55
334,17,0.078393877,305786f3922ba5768ac220f767b48443
334,18,0.056879316,5a6616b5db53ad203960b86b51a2089a
324,19,0.172438162,077acda13850099b56c619bc5c6a6bf6
335,20,0.539167578,346e9f03f471cc784bca00e5efb70db4
336,21,0.268408845,55f7dbad64b0e4f92ed40f84debf5a12
337,22,0.159981716,0b878f2e511afbf2c8efef5228387994
338,23,0.058642901,a4b9df78ceb22d8ea59c277475d7d2a0
338,24,0.098341669,65b1498ce011c2fe55b1712369960799
315,25,0.185426303,3dc31d30a8de3b5806fa808a5aa0c9f4
342,26,0.012625703,077f3ddca1f0171a997070832b67e5a9
343,27,0.017057525,cd370bf2d923ccd8ae530e5261455ad8
344,28,0.009976397,62b3de7a8b4d5bb23550bbf4cd59c7cd
346,29,5.00E-09,174889689b2aa52166a5fca949cf5948
346,30,0.090476105,aea0fec14ab56dd77c34f5ab4abbdc92
345,31,0.011784388,40c8793169ea9d53b7f04ab6a1bb52ad
349,32,0.034387354,15a7394f1b2dcb5332b6acb428e72152
351,33,0.012095444,de481404713f197ed26a727654b64fa4
351,34,0.010791007,8d7d0a1f5cb1063e68fa22ae297c357a
352,35,0.00832397,24b4c9a12e6b38aa95978e908383e450
352,36,0.002512779,0745aa38714b07214cc3bf28014a095e
348,37,0.061224735,b6919796ed69f705edea0b45bc863e33
354,38,5.00E-09,c237fe3ce1e8681614ebe90ef66f9a02
354,39,0.017568618,6107367019a947d11a94c94170f51369
358,40,0.01836527,5e383ac2a60220e87283edc0cde54db5
360,41,0.040045909,866b208171e38783bcdcea5ff898c2d6
360,42,0.111934283,7f4c441d08ecfb095cd21605517e7d1b
361,43,0.022595454,4d70b86cf509d0bccf39ed0aefe63de9
361,44,0.064831612,7e49703b81a3d69d26a1dfe588b19217
357,45,0.110379919,def7082044e18c149d8bc61a40eb3c73
364,46,0.021913734,92cb377d388fd0dcc43ffa2fc7f3813d
364,47,0.02626449,46d104439a388c2f2e30c86a30eea3d0
367,48,0.035754706,0db10c4e1c448167de5bf42f111b4b54
367,49,0.11512909,aa412b56bd25c699344057753c1ea535
366,50,0.046647558,a75f45dbdfc96f311914739b5f951112
368,51,0.031450459,e952cd9ec54aaf9f000e3f4d027afb8f
369,52,0.029195299,53139598ca50a5ef6722821d6d36f980
369,53,0.053646403,b2561cfe38d5a5a6b4db8fe76f44f762
371,54,5.00E-09,4cc0a72a02ddd045f9b1fe67f480663b
372,55,0.003263979,52dde4c441d5932d5c3b572d65d06299
372,56,0.029299264,e0ae6c348e8b9e469cc50b609d6c9b8a
370,57,5.00E-09,18969f913f7d7e12bafc079275c3c28d
373,58,0.061657773,ee67506172a8a7f88c2e98319a7d5ca6
373,59,0.10830975,fb05723740f27e9c19cc53966320ca0a
378,60,0.013020345,8d2504a4e6bba2334f9026d61adaf0db
378,61,0.009188857,f2b28cfcc58ed1198c7c96640dd651f7
377,62,5.00E-09,72c0817e5a4d71b5d937a45f46e26173
376,63,0.177894237,695c9a70d02015b689ba802c1e27e706
379,64,0.950481882,b3b0e73749d691a98a187a12dd2d5ab7
379,65,0.276790453,0b7f2bb6288a4bfcf02c45633ab0b0c2
380,66,0.031658668,edbdaca43a9c038b0d1e2943e9dc2ce1
381,67,5.00E-09,8a483e36106d85415ec45937011df364
381,68,0.017355165,c664a73929aea0a9b89578f0af5871ee
383,69,0.015012303,58d93b982c6494bd3a34f5ad63b1eb07
384,70,0.033404011,e1510b286531ed58ae9f698007c5efa4
388,71,0.03446001,37e30e78d2300ad4f4cd9772ac724b26
390,72,0.070141634,848ce2e58807e4df39373ccfbe075a52
390,73,0.089878904,9ac5c3ac931cdea9dd113a67d6b64768
389,74,0.010093815,4d313e0719296fdf66731b1346b26691
387,75,0.004695888,6aa6ca4b7b39fb571f4e9481abd50c67
391,76,0.010021199,0d055051868f43580e28a6e9b5195587
391,77,5.00E-09,e528657523fb22f3f2dc53c4d1372e91
385,78,0.017929435,bd75f1a48d453056db4c97cde0e28c88
382,79,0.182456864,4d041ca291f8a55652028d963b664a8f
394,80,0.13902156,d8da6cae39f63fac0502cd4585341ede
394,81,0.095314804,e4884b96c8223f52c943fa1b9bb864f0
396,82,0.010094475,27a31a93822af926fb99279ada0e567a
396,83,0.001997664,369c4636233d3ab96efceb7ce9760fec
397,84,0.020601086,b1e676aafa16b168509f32ed2d203295
397,85,0.032295033,2b1f7d36af223b8a41c96f46ecc03232
402,86,5.00E-09,bf74c9ee4e38e0d3937b7c02054d9c93
402,87,0.004805576,cbfed9720c3ce16deb685af0d4890553
404,88,5.00E-09,c51baa59428c968db12312b577509f6b
407,89,0.009696041,e72f8dbb76362c0d27602e2303fc3cc9
407,90,5.00E-09,7843dec5447510eac2032ae666ed5595
411,91,0.004783871,d5c6e440c4f98476ed97f1027d4656db
411,92,0.00970839,4f944d7661d272b27c6acdeb2f3607a6
412,93,0.009827781,24c7494298aeea4888a10cdea8a52195
412,94,0.009826394,dfc29257ce1242733cbc84f7cbcc8ca1
415,95,0.004856951,d1b118fa843768419c957ce19a6ffac0
416,96,0.004848963,feb05459830a218fa7c4b4bb9fd5af8b
416,97,0.007299492,a638dfe0067559e0ba8d5b76a2e43e54
414,98,0.016987875,04dc969a576e56c7d54d971f91ac6971
417,99,0.002390125,83b0e8529353c08fef6549c6d7ddd442
418,100,0.007201729,fc86fc2553b373731e6746414ee751db
418,101,5.00E-09,18b03aa61ba2b4bd5dfde445fb47f1a6
408,102,0.014669659,8798270c9bf0ac0a6c2484473a51d496
419,103,0.002243634,f0bde4ef0c345d3c9c970ffda1694e78
419,104,0.024643184,7307a6eee03532f3d510f0d698ecafaa
422,105,0.00521442,badba36b2fc31c8c7ec54364cbf9c3c1
422,106,0.017169417,2b1359521594eeb1d89da83292a5260c
421,107,0.010449169,ea88b3ab144fc97510928dd0c64dfc40
420,108,0.006732752,47e21255026d05b3a156f4c7256e9cb4
400,109,0.004928399,1acf0649a7eb592491b1b9a1753ac4cf
399,110,0.116076081,3b3a03ab9f1cdcb9dffe02a4423ded57
425,111,0.090608347,0f92130d8064fd22229ef39dce2f02fb
425,112,0.18518926,6f28855b04e89d1d5342ad649a7db93e
426,113,0.066970446,aeb125d8181eebfa16011783589046ff
435,114,0.002552385,05c3ba8e209ad2451bd8829058aa91af
435,115,0.009599122,6b9426b161c19b35723138ae9509c59e
437,116,0.022685735,8969bfe32ad1e9cece9078adf7e99195
438,117,0.00737691,2e4077e05be9f5946468e873be817ab9
438,118,0.002398743,5cbc25256deb9f42622585415a8b173a
442,119,0.042983556,84dbbd5cb3a818e56b3a2cd9c5e42f1f
444,120,0.056829011,734ec295e870d386d6b90ecf9bf0d847
445,121,0.011765672,57a31711286c6a7eb7a8af3c68304692
445,122,0.002847257,461de31246e0f5439ed207009e09571b
447,123,0.004834602,bea1e3001b24dec81f82628e63306766
448,124,0.009720028,ad2857019a3059115afc8a214c0b3103
448,125,5.00E-09,8e13c6aa04b6a4939942dec765b8ee12
446,126,0.012243748,ccde2b69129184aea96be99dc2539bc4
441,127,0.028035743,9bccd5a73fb5ef912da28332f6d7324a
440,128,0.027735793,ad109b3040151ea220aa6c35a1254ad1
452,129,0.066270322,b7fc66d8ca52b1faf6942fd26ccb342f
453,130,0.042837157,3736207f58bde401db11c8baea17ad73
454,131,5.00E-09,d5a703cbb9475f723fe419eb9e55b1e5
454,132,0.007248664,ad306e5b96f8214edfe2d53499aa3512
456,133,0.016319348,4dcc388418f8510dbdea6b1eb990eff4
456,134,0.007881456,cecd823d3d8330b66cccbe53a2bf562e
457,135,0.009726234,c6e126ec6bdaa370f03ca312c5ab4f29
458,136,0.012204707,a28a8d0b50af6d2e2cc6986ee5f327f3
458,137,0.007233638,bf6ffa39528a341360cb05b2e353be2b
450,138,0.009684325,83e335a0f9e28182aa352347c772ffc3
459,139,0.012234094,c32c8f9e1f1f40dca4249039e161f6d6
460,140,0.014806766,7e18fb0245cfaf57ae18e9e3668d3dd7
461,141,0.015344365,565448b9e105df4d940ded164bd4a7b3
461,142,0.011903209,ed3ba4d4a2905b2e89dbd3464fbec5c3
463,143,0.006808275,93618cb7d401fc53fd08c6753d044f25
463,144,0.037830313,8b6ff793505e1372cb939876aea3d182
462,145,0.060025684,8196395390d90f60b99c315b39ce72d6
464,146,0.03123498,fd7f116170bf314cd8d12338a3f07b11
465,147,0.007686682,cca6a877b9f4a4d2d2ad31530b49c11e
466,148,0.004485366,937eb97cec47967201867f0d28610a89
466,149,0.012694031,ce45a8cc397b4843fed003ec8c42ea67
467,150,0.099096119,4cc91003adb93348800337116033c570
470,151,0.009016127,853fb35c3c739b7302c57af745026d5d
470,152,0.006228601,9a02945886d5fdc3ccc390f3975c17a8
469,153,0.002366309,a6c810a8b4105526e30a9f26eebb3bf4
468,154,5.00E-09,a2dae4ffb88c6287734f0a0c878ce59a
